CONTRATO GENERAL;CONTRATO ABONADO;ZONA ;Dir. Suministro;EMPLAZAMIENTO;INSPECCION
3290;3290;Zona 06;CL/ TOLEDO, N 8;GENERAL exterior;11388
3290;29579;Zona 06;CL/ TOLEDO, N 8, Edif USOS COMUNES;BATERIA CON GRAL;11389
3290;29576;Zona 06;CL/ TOLEDO, N 8, Plt 3, B;BATERIA CON GRAL;11389
3290;29574;Zona 06;CL/ TOLEDO, N 8, Plt 2, B;BATERIA CON GRAL;11389
3290;29572;Zona 06;CL/ TOLEDO, N 8, Plt 1, B;BATERIA CON GRAL;11389
3290;29569;Zona 06;CL/ TOLEDO, N 8, Plt ENT, A;BATERIA CON GRAL;11389
3290;29578;Zona 06;CL/ TOLEDO, N 8, Plt GR, 2;BATERIA CON GRAL;11389
3290;29580;Zona 06;CL/ TOLEDO, N 8, Edif PLACAS SOLARES;BATERIA CON GRAL;11389
3290;29575;Zona 06;CL/ TOLEDO, N 8, Plt 3, A;BATERIA CON GRAL;11389
3290;29573;Zona 06;CL/ TOLEDO, N 8, Plt 2, A;BATERIA CON GRAL;11389
3290;29571;Zona 06;CL/ TOLEDO, N 8, Plt 1, A;BATERIA CON GRAL;11389
3290;29570;Zona 06;CL/ TOLEDO, N 8, Plt ENT, B;BATERIA CON GRAL;11389
3290;29577;Zona 06;CL/ TOLEDO, N 8, Plt GR, 1;BATERIA CON GRAL;11389
