CONTRATO GENERAL;CONTRATO ABONADO;ZONA ;Dir. Suministro;EMPLAZAMIENTO;INSPECCION
4730;4730;Zona 02;CL/ TERCIO DE LOS MORADOS, Nº 8;GENERAL exterior;3162
4730;29296;Zona 02;CL/ TERCIO DE LOS MORADOS, Nº 8, Plt 2, A;BATERÍA CON GRAL;3185
4730;29295;Zona 02;CL/ TERCIO DE LOS MORADOS, Nº 8, Plt 1, C;BATERÍA CON GRAL;3185
4730;29294;Zona 02;CL/ TERCIO DE LOS MORADOS, Nº 8, Plt 1, B;BATERÍA CON GRAL;3185
4730;29301;Zona 02;CL/ TERCIO DE LOS MORADOS, Nº 8, Plt 3, C;BATERÍA CON GRAL;3185
4730;29300;Zona 02;CL/ TERCIO DE LOS MORADOS, Nº 8, Plt 3, B;BATERÍA CON GRAL;3185
4730;29299;Zona 02;CL/ TERCIO DE LOS MORADOS, Nº 8, Plt 3, A;BATERÍA CON GRAL;3185
4730;29293;Zona 02;CL/ TERCIO DE LOS MORADOS, Nº 8, Plt 1, A;BATERÍA CON GRAL;3185
4730;29304;Zona 02;CL/ TERCIO DE LOS MORADOS, Nº 8, Plt 4, C;BATERÍA CON GRAL;3185
4730;29302;Zona 02;CL/ TERCIO DE LOS MORADOS, Nº 8, Plt 4, A;BATERÍA CON GRAL;3185
4730;29305;Zona 02;CL/ TERCIO DE LOS MORADOS, Nº 8, Edif USOS COMUNES;BATERÍA CON GRAL;3185
4730;29303;Zona 02;CL/ TERCIO DE LOS MORADOS, Nº 8, Plt 4, B;BATERÍA CON GRAL;3185
4730;29298;Zona 02;CL/ TERCIO DE LOS MORADOS, Nº 8, Plt 2, C;BATERÍA CON GRAL;3185
4730;29297;Zona 02;CL/ TERCIO DE LOS MORADOS, Nº 8, Plt 2, B;BATERÍA CON GRAL;3185
6329;6329;Zona 02;CL/ NOVAL, CABO, Nº 26;GENERAL exterior;3320
6329;29284;Zona 02;CL/ NOVAL, CABO, Nº 26, Edif PLACA SOLAR;BATERÍA CON GRAL;3321
6329;29286;Zona 02;CL/ NOVAL, CABO, Nº 26, Plt 3;BATERÍA CON GRAL;3321
6329;29287;Zona 02;CL/ NOVAL, CABO, Nº 26, Plt 2;BATERÍA CON GRAL;3321
6329;29288;Zona 02;CL/ NOVAL, CABO, Nº 26, Plt 1;BATERÍA CON GRAL;3321
6329;29289;Zona 02;CL/ NOVAL, CABO, Nº 26, Plt ENT;BATERÍA CON GRAL;3321
6329;29290;Zona 02;CL/ NOVAL, CABO, Nº 26, Plt GJ, 1;BATERÍA CON GRAL;3321
6329;29291;Zona 02;CL/ NOVAL, CABO, Nº 26, Plt GJ, 2;BATERÍA CON GRAL;3321
6329;29292;Zona 02;CL/ NOVAL, CABO, Nº 26, Edif USOS COMUNES;BATERÍA CON GRAL;3321
