CONTRATO GENERAL;CONTRATO ABONADO;ZONA ;Dir. Suministro;EMPLAZAMIENTO;INSPECCION
201;201;Zona 02;CL/ MARTIN DE CORDOBA, PLZ, Nº 16;INDIV exterior SIN GRAL;3190
10221;10221;Zona 02;CJ/ MARINA, DE LA, Nº 3;INDIV exterior SIN GRAL;3209
5981;5981;Zona 02;CJ/ MARINA, DE LA, Nº 6;INDIV exterior SIN GRAL;3191
5956;5956;Zona 02;CJ/ MARINA, DE LA, Nº 10;INDIV exterior SIN GRAL;3210
6430;6430;Zona 02;CJ/ MARINA, DE LA, Nº 12;INDIV exterior SIN GRAL;3192
11712;11712;Zona 02;CJ/ MARINA, DE LA, Nº 9, Plt LOC, 01;INDIV exterior SIN GRAL;3211
17765;17765;Zona 02;CJ/ MARINA, DE LA, Nº 13, Plt LOC, 01;INDIV exterior SIN GRAL;3193
10689;10689;Zona 02;CJ/ MARINA, DE LA, Nº 18, Plt LOC, 01;INDIV exterior SIN GRAL;3212
5432;5432;Zona 02;CJ/ MARINA, DE LA, Nº 18;INDIV exterior SIN GRAL;3213
10425;10425;Zona 02;CJ/ MARINA, DE LA, Nº 18, Plt 2, IZ;INDIV exterior SIN GRAL;3194
10426;10426;Zona 02;CJ/ MARINA, DE LA, Nº 18, Plt 1, IZ;INDIV exterior SIN GRAL;3214
7884;7884;Zona 02;CJ/ MARINA, DE LA, Nº 20, A;INDIV exterior SIN GRAL;3195
21900;21900;Zona 02;CJ/ MARINA, DE LA, Nº 20, A;INDIV exterior SIN GRAL;3215
7911;7911;Zona 02;CJ/ MARINA, DE LA, Nº 20, B;INDIV interior SIN GRAL;3216
15128;15128;Zona 02;CL/ HUERTO LAS CAÑAS, Nº S/N;INDIV exterior SIN GRAL;3196
10403;10403;Zona 02;CL/ HUERTO LAS CAÑAS, Nº S/N;INDIV interior SIN GRAL;3197
7093;7093;Zona 02;CJ/ MARINA, DE LA, Nº 24;INDIV exterior SIN GRAL;3217
12312;12312;Zona 02;CJ/ MARINA, DE LA, Nº S/N;INDIV exterior SIN GRAL;3198
3007;3007;Zona 02;CJ/ MARINA, DE LA, Nº 21;INDIV exterior SIN GRAL;3218
10322;10322;Zona 02;CJ/ MARINA, DE LA, Nº 26;INDIV exterior SIN GRAL;3199
4784;4784;Zona 02;CJ/ MARINA, DE LA, Nº 28;INDIV exterior SIN GRAL;3219
3008;3008;Zona 02;CJ/ MARINA, DE LA, Nº 23;INDIV exterior SIN GRAL;3200
24641;24641;Zona 02;CM/ HUERTA DE PIMENTEL, DE LA, Nº 11;INDIV exterior SIN GRAL;3201
27054;27054;Zona 02;CM/ HUERTA DE PIMENTEL, DE LA, Nº 11, Ent BIS;INDIV exterior SIN GRAL;3220
23702;23702;Zona 02;CJ/ MARINA, DE LA, Nº 30;INDIV exterior SIN GRAL;3221
31074;31074;Zona 02;CJ/ MARINA, DE LA, Nº 29, Plt PARC, 79;INDIV exterior SIN GRAL;3202
