Zona;Contrato;Uso;Direccion Suministro;Contador;Diametro;F.Instalacion;Marca;Emplazamiento;Edad
"	1";58919;DOMÉSTICO; CM. DE LA VIRGEN, Nº 40;43229;15;10/03/2021;Sin Determinar;Sin determinar;3
"	1";275254;INDUSTRIAL; POL. INDUSTRIAL, Nº 71, BAJO;43457;25;19/02/2024;Sin Determinar;Sin determinar;0
"	1";266934;INDUSTRIAL; PTDA. EL PLA , Nº 12, Plt BAJO;40617;15;27/08/2020;Sin Determinar;Sin determinar;4
"	1";267525;INDUSTRIAL;AVDA. BENEJAMA (POL. INDUS.), Nº 11;43471;15;31/03/2024;Sin Determinar;Sin determinar;0
"	1";9965263;DOMÉSTICO;C/LA PALETA, Nº, 1;42233;15;01/10/2020;Sin Determinar;Sin determinar;4
"	1";59164;MUNICIPAL;C/SAN JOSE, Nº 2, Plt BAJO;2902;40;01/11/2022;Sin Determinar;Sin determinar;2
"	1";274961;DOMÉSTICO;PTDA. DEL FIGUERAL, Nº 15;40698;15;09/09/2020;Sin Determinar;Sin determinar;4
"	Z010";59274;DOMÉSTICO; CM. BUENOS AIRES, Nº 119;43468;15;10/04/2024;Sin Determinar;Sin determinar;0
"	Z010";59235;DOMÉSTICO; CM. BUENOS AIRES, Nº 6, BAJO;40827;15;01/10/2023;Sin Determinar;Sin determinar;1
"	Z010";59169;DOMÉSTICO; CM. BUENOS AIRES, Nº POL.21, PARCELA 566;43400;15;22/11/2022;Sin Determinar;Sin determinar;2
"	Z010";275571;DOMÉSTICO; CM. LA TOSQUERA , Nº 1;1927;30;30/04/2019;Sin Determinar;Sin determinar;5
"	Z010";3045690;DOMÉSTICO; CM. LA TOSQUERA , Nº 55;40819;15;15/09/2020;Sin Determinar;Sin determinar;4
"	Z010";9822520;DOMÉSTICO; CM. SANTUARIO, Nº 5;43283;15;01/04/2021;Sin Determinar;Sin determinar;3
"	Z010";267809;SERV. CONTRAINCENDIOS; CM. SANTUARIO, Nº 6, B.INC.;2115;65;30/04/2019;Sin Determinar;Sin determinar;5
"	Z010";273925;DOMÉSTICO;C/PASOS, Nº 12;40834;15;09/09/2020;Sin Determinar;Sin determinar;4
"	Z010";275517;DOMÉSTICO;CM. BUENOS AIRES, Nº 1, BAJO;40810;15;14/09/2020;Sin Determinar;Sin determinar;4
"	Z010";3047625;DOMÉSTICO;CM. BUENOS AIRES, Nº 10;40837;15;09/09/2020;Sin Determinar;Sin determinar;4
"	Z010";273967;DOMÉSTICO;CM. BUENOS AIRES, Nº 11;40824;15;15/09/2020;Sin Determinar;Sin determinar;4
"	Z010";275017;DOMÉSTICO;CM. BUENOS AIRES, Nº 12;40825;15;15/09/2020;Sin Determinar;Sin determinar;4
"	Z010";275509;DOMÉSTICO;CM. BUENOS AIRES, Nº 13, BAJO;40823;15;15/09/2020;Sin Determinar;Sin determinar;4
"	Z010";275515;DOMÉSTICO;CM. BUENOS AIRES, Nº 2, BAJO;40809;15;14/09/2020;Sin Determinar;Sin determinar;4
"	Z010";59161;DOMÉSTICO;CM. BUENOS AIRES, Nº 3;40820;15;01/10/2022;Sin Determinar;Sin determinar;2
"	Z010";275636;INDUSTRIAL;CM. BUENOS AIRES, Nº 4;1633;25;30/04/2019;Sin Determinar;Sin determinar;5
"	Z010";268318;DOMÉSTICO;CM. BUENOS AIRES, Nº 570;40822;15;15/09/2020;Sin Determinar;Sin determinar;4
"	Z010";268497;DOMÉSTICO;CM. BUENOS AIRES, Nº 576;40828;15;15/09/2020;Sin Determinar;Sin determinar;4
"	Z010";275506;DOMÉSTICO;CM. BUENOS AIRES, Nº 8, BAJO;40835;15;09/09/2020;Sin Determinar;Sin determinar;4
"	Z010";275015;DOMÉSTICO;CM. BUENOS AIRES, Nº 9;40836;15;09/09/2020;Sin Determinar;Sin determinar;4
"	Z010";275014;DOMÉSTICO;CM. CAMPANETA, Nº 1;43429;15;20/07/2023;Sin Determinar;Sin determinar;1
"	Z010";275018;DOMÉSTICO;CM. CAMPANETA, Nº 2;250;15;01/01/2020;Sin Determinar;Sin determinar;4
"	Z010";3045705;DOMÉSTICO;CM. LA TOSQUERA, Nº 2;40838;15;09/09/2020;Sin Determinar;Sin determinar;4
"	Z010";9732505;DOMÉSTICO;CM. LA TOSQUERA, Nº 56, PARCELA 4;40821;15;15/09/2020;Sin Determinar;Sin determinar;4
"	Z010";273914;DOMÉSTICO;CM. SANTUARIO, Nº 4;40833;15;09/09/2020;Sin Determinar;Sin determinar;4
"	Z010";273915;INDUSTRIAL;CM. SANTUARIO, Nº 6;1929;30;30/04/2019;Sin Determinar;Sin determinar;5
"	Z012";3030360;DOMÉSTICO; C/BALCON DE BIAR, Nº 29;40661;15;08/09/2020;Sin Determinar;Sin determinar;4
"	Z012";274918;DOMÉSTICO; C/LA VIÑA, Nº 3;40583;15;26/08/2020;Sin Determinar;Sin determinar;4
