notificacion;contrato;inspeccion;fecha1;codigo1;fecha2;codigo2;fecha_oficina;codigo_oficina;fecha_final;codigo_final;boe;fecha_envio_boe;fecha_pub_poe;fecha_ok_cambio;error_direccion
901;28967;51825;08/04/2024;1;;;;;;;;;;;
902;28967;51826;08/04/2024;4;;;;;;;;;;;
903;29035;54392;08/04/2024;1;;;;;;;;;;;
904;29084;51831;08/04/2024;1;;;;;;;;;;;
905;29085;51831;08/04/2024;1;;;;;;;;;;;
906;29086;51831;08/04/2024;3;;;;;;;;;;;
907;29087;51831;08/04/2024;1;;;;;;;;;;;
908;29088;51831;08/04/2024;1;;;;;;;;;;;
909;29089;51831;08/04/2024;1;;;;;;;;;;;
910;29090;51831;08/04/2024;1;;;;;;;;;;;
911;29091;51831;08/04/2024;1;;;;;;;;;;;
912;29092;51831;08/04/2024;2;;;;;;;;;;;
913;29093;51831;08/04/2024;1;;;;;;;;;;;
914;29094;54612;08/04/2024;1;;;;;;;;;;;
915;29103;55029;08/04/2024;1;;;;;;;;;;;
916;29103;55029;08/04/2024;1;;;;;;;;;;;
917;29124;52321;08/04/2024;1;;;;;;;;;;;
918;29138;55905;08/04/2024;1;;;;;;;;;;;
919;29151;52645;08/04/2024;1;;;;;;;;;;;
920;29195;53421;08/04/2024;1;;;;;;;;;;;
921;29196;53422;08/04/2024;1;;;;;;;;;;;
922;29197;53420;08/04/2024;1;;;;;;;;;;;
923;29198;53442;08/04/2024;5;;;;;;;;;;;
924;29199;53405;08/04/2024;1;;;;;;;;;;;
925;29200;52722;08/04/2024;1;;;;;;;;;;;
926;29245;53385;08/04/2024;6;;;;;;;;;;;
927;29246;53386;08/04/2024;1;;;;;;;;;;;
928;29247;53384;08/04/2024;1;;;;;;;;;;;
929;29252;52736;08/04/2024;1;;;;;;;;;;;
930;29253;53441;08/04/2024;3;;;;;;;;;;;
931;29258;51856;08/04/2024;3;;;;;;;;;;;
932;29259;51856;08/04/2024;1;;;;;;;;;;;
933;29260;51856;08/04/2024;1;;;;;;;;;;;
934;29261;51856;08/04/2024;1;;;;;;;;;;;
935;29262;51856;08/04/2024;1;;;;;;;;;;;
936;29263;51856;08/04/2024;1;;;;;;;;;;;
937;29264;51856;08/04/2024;3;;;;;;;;;;;
938;29265;51856;08/04/2024;1;;;;;;;;;;;
939;29266;51856;08/04/2024;1;;;;;;;;;;;
940;29267;51856;08/04/2024;1;;;;;;;;;;;
941;29268;51856;08/04/2024;1;;;;;;;;;;;
942;29269;51856;08/04/2024;2;;;;;;;;;;;
943;29270;51856;08/04/2024;1;;;;;;;;;;;
944;29271;51856;08/04/2024;1;;;;;;;;;;;
945;29272;51856;08/04/2024;2;;;;;;;;;;;
946;29273;51856;08/04/2024;1;;;;;;;;;;;
947;29274;51856;08/04/2024;1;;;;;;;;;;;
948;29275;51856;08/04/2024;1;;;;;;;;;;;
949;29276;51856;08/04/2024;1;;;;;;;;;;;
950;29277;51856;08/04/2024;1;;;;;;;;;;;
951;29278;51856;08/04/2024;6;;;;;;;;;;;
952;29279;51856;08/04/2024;1;;;;;;;;;;;
953;29280;51856;08/04/2024;1;;;;;;;;;;;
954;29280;51856;08/04/2024;1;;;;;;;;;;;
955;29281;51856;08/04/2024;1;;;;;;;;;;;
956;29281;51856;08/04/2024;1;;;;;;;;;;;
957;29284;52044;08/04/2024;6;;;;;;;;;;;
958;29286;52044;08/04/2024;1;;;;;;;;;;;
959;29287;52044;08/04/2024;1;;;;;;;;;;;
960;29288;52044;08/04/2024;1;;;;;;;;;;;
961;29289;52044;08/04/2024;2;;;;;;;;;;;
962;29290;52044;08/04/2024;1;;;;;;;;;;;
963;29291;52044;08/04/2024;1;;;;;;;;;;;
964;29292;52044;08/04/2024;1;;;;;;;;;;;
965;29293;51908;08/04/2024;1;;;;;;;;;;;
966;29294;51908;08/04/2024;1;;;;;;;;;;;
967;29295;51908;08/04/2024;1;;;;;;;;;;;
968;29296;51908;08/04/2024;1;;;;;;;;;;;
969;29297;51908;08/04/2024;1;;;;;;;;;;;
970;29298;51908;08/04/2024;1;;;;;;;;;;;
971;29299;51908;08/04/2024;3;;;;;;;;;;;
972;29300;51908;08/04/2024;3;;;;;;;;;;;
973;29300;51908;08/04/2024;1;;;;;;;;;;;
974;29301;51908;08/04/2024;1;;;;;;;;;;;
975;29302;51908;08/04/2024;1;;;;;;;;;;;
976;29303;51908;08/04/2024;1;;;;;;;;;;;
977;29304;51908;08/04/2024;2;;;;;;;;;;;
978;29305;51908;08/04/2024;1;;;;;;;;;;;
979;29319;51844;08/04/2024;1;;;;;;;;;;;
980;29322;53922;08/04/2024;1;;;;;;;;;;;
981;29371;52838;08/04/2024;1;;;;;;;;;;;
982;29400;52690;08/04/2024;1;;;;;;;;;;;
983;29403;53355;08/04/2024;1;;;;;;;;;;;
984;29450;51826;08/04/2024;1;;;;;;;;;;;
985;29451;51826;08/04/2024;1;;;;;;;;;;;
986;29452;51826;08/04/2024;1;;;;;;;;;;;
987;29453;51826;08/04/2024;1;;;;;;;;;;;
988;29454;51826;08/04/2024;1;;;;;;;;;;;
989;29455;51826;08/04/2024;1;;;;;;;;;;;
990;29456;51826;08/04/2024;1;;;;;;;;;;;
991;29457;51826;08/04/2024;1;;;;;;;;;;;
992;29458;51826;08/04/2024;2;;;;;;;;;;;
993;29459;51826;08/04/2024;1;;;;;;;;;;;
994;29460;51826;08/04/2024;1;;;;;;;;;;;
995;29461;51826;08/04/2024;1;;;;;;;;;;;
996;29462;51826;08/04/2024;1;;;;;;;;;;;
