notificacion;contrato;inspeccion;fecha1;codigo1;fecha2;codigo2;fecha_oficina;codigo_oficina;fecha_final;codigo_final;boe;fecha_envio_boe;fecha_pub_poe;fecha_ok_cambio;error_direccion
901;2163;32791;14/04/2024;1;;;;;;;;;;;
902;22097;32792;14/04/2024;1;;;;;;;;;;;
903;22097;32792;14/04/2024;1;;;;;;;;;;;
904;26415;32797;14/04/2024;1;;;;;;;;;;;
905;26416;32797;14/04/2024;3;16/04/2024;1;;;;;;;;;
906;26417;32797;14/04/2024;1;;;;;;;;;;;
907;26418;32797;14/04/2024;1;;;;;;;;;;;
908;26419;32797;14/04/2024;1;;;;;;;;;;;
909;26420;32797;14/04/2024;1;;;;;;;;;;;
910;26421;32797;14/04/2024;3;16/04/2024;1;;;;;;;;;
911;26422;32797;14/04/2024;3;16/04/2024;1;;;;;;;;;
912;26423;32797;14/04/2024;3;16/04/2024;1;;;;;;;;;
913;26424;32797;14/04/2024;3;16/04/2024;1;;;;;;;;;
914;26425;32797;14/04/2024;1;;;;;;;;;;;
915;26425;32797;14/04/2024;1;;;;;;;;;;;
916;26426;32795;14/04/2024;1;;;;;;;;;;;
917;26427;32795;14/04/2024;1;;;;;;;;;;;
918;26428;32795;14/04/2024;1;;;;;;;;;;;
919;26429;32795;14/04/2024;1;;;;;;;;;;;
920;26430;32795;14/04/2024;1;;;;;;;;;;;
921;26431;32795;14/04/2024;1;;;;;;;;;;;
922;26432;32795;14/04/2024;3;16/04/2024;3;;;;;;;;;
923;26433;32795;14/04/2024;3;16/04/2024;3;;;;;;;;;
924;26434;32795;14/04/2024;3;16/04/2024;3;;;;;;;;;
925;26435;32795;14/04/2024;3;16/04/2024;3;;;;;;;;;
926;26436;32797;14/04/2024;1;;;;;;;;;;;
927;26437;32795;14/04/2024;4;;;;;;;;;;;
928;26437;32795;14/04/2024;1;;;;;;;;;;;
929;27008;32794;14/04/2024;1;;;;;;;;;;;
930;27010;32794;14/04/2024;1;;;;;;;;;;;
931;27011;32794;14/04/2024;1;;;;;;;;;;;
932;27012;32794;14/04/2024;1;;;;;;;;;;;
933;27013;32794;14/04/2024;1;;;;;;;;;;;
934;27013;32794;14/04/2024;1;;;;;;;;;;;
935;27014;32794;14/04/2024;1;;;;;;;;;;;
936;27015;32794;14/04/2024;1;;;;;;;;;;;
937;27016;32794;14/04/2024;1;;;;;;;;;;;
938;27017;32794;14/04/2024;1;;;;;;;;;;;
939;27018;32794;14/04/2024;1;;;;;;;;;;;
940;27019;32794;14/04/2024;1;;;;;;;;;;;
941;27020;32794;14/04/2024;1;;;;;;;;;;;
942;27021;32794;14/04/2024;1;;;;;;;;;;;
943;27022;32794;14/04/2024;1;;;;;;;;;;;
944;27023;32794;14/04/2024;1;;;;;;;;;;;
945;27024;32794;14/04/2024;1;;;;;;;;;;;
946;3229;32795;14/04/2024;1;;;;;;;;;;;
947;3229;32797;14/04/2024;1;;;;;;;;;;;
948;3229;32796;14/04/2024;1;;;;;;;;;;;
949;3229;32796;14/04/2024;1;;;;;;;;;;;
950;3229;32797;14/04/2024;1;;;;;;;;;;;
951;3229;32795;14/04/2024;1;;;;;;;;;;;
952;4712;32793;14/04/2024;1;;;;;;;;;;;
953;4712;32794;14/04/2024;1;;;;;;;;;;;
954;4712;32794;14/04/2024;1;;;;;;;;;;;
955;4712;32793;14/04/2024;1;;;;;;;;;;;
