notificacion;contrato;inspeccion;fecha1;codigo1;fecha2;codigo2;fecha_oficina;codigo_oficina;fecha_final;codigo_final;boe;fecha_envio_boe;fecha_pub_poe;fecha_ok_cambio;error_direccion
801;30478;52091;09/04/2024;3;;;;;;;;;;;
802;30479;52092;09/04/2024;1;;;;;;;;;;;
803;30491;52408;09/04/2024;1;;;;;;;;;;;
804;30491;52409;09/04/2024;1;;;;;;;;;;;
805;30491;52410;09/04/2024;1;;;;;;;;;;;
806;30491;52411;09/04/2024;1;;;;;;;;;;;
807;30491;52412;09/04/2024;1;;;;;;;;;;;
808;30491;52413;09/04/2024;1;;;;;;;;;;;
809;30491;52414;09/04/2024;1;;;;;;;;;;;
810;30491;52415;09/04/2024;6;;;;;;;;;;;
811;30491;52416;09/04/2024;5;;;;;;;;;;;
812;30491;52416;09/04/2024;1;;;;;;;;;;;
813;30491;52415;09/04/2024;1;;;;;;;;;;;
814;30491;52414;09/04/2024;1;;;;;;;;;;;
815;30491;52413;09/04/2024;1;;;;;;;;;;;
816;30491;52412;09/04/2024;1;;;;;;;;;;;
817;30491;52411;09/04/2024;1;;;;;;;;;;;
818;30491;52410;09/04/2024;3;;;;;;;;;;;
819;30491;52409;09/04/2024;1;;;;;;;;;;;
820;30491;52408;09/04/2024;1;;;;;;;;;;;
821;30492;52253;09/04/2024;1;;;;;;;;;;;
822;30492;52252;09/04/2024;1;;;;;;;;;;;
823;30492;52252;09/04/2024;2;;;;;;;;;;;
824;30492;52253;09/04/2024;2;;;;;;;;;;;
825;30500;52179;09/04/2024;1;;;;;;;;;;;
826;30500;52180;09/04/2024;5;;;;;;;;;;;
827;30501;52192;09/04/2024;1;;;;;;;;;;;
828;30501;52193;09/04/2024;1;;;;;;;;;;;
829;30502;52862;09/04/2024;1;;;;;;;;;;;
830;30502;52863;09/04/2024;4;;;;;;;;;;;
831;30502;52864;09/04/2024;1;;;;;;;;;;;
832;30502;52865;09/04/2024;1;;;;;;;;;;;
833;30502;52867;09/04/2024;3;;;;;;;;;;;
834;30502;52866;09/04/2024;1;;;;;;;;;;;
835;30502;52866;09/04/2024;1;;;;;;;;;;;
836;30502;52867;09/04/2024;1;;;;;;;;;;;
837;30502;52865;09/04/2024;1;;;;;;;;;;;
838;30502;52864;09/04/2024;1;;;;;;;;;;;
839;30502;52863;09/04/2024;1;;;;;;;;;;;
840;30502;52862;09/04/2024;1;;;;;;;;;;;
841;30518;52596;09/04/2024;1;;;;;;;;;;;
842;30530;52456;09/04/2024;1;;;;;;;;;;;
843;30531;52271;09/04/2024;1;;;;;;;;;;;
844;30532;52326;09/04/2024;1;;;;;;;;;;;
845;30533;52327;09/04/2024;1;;;;;;;;;;;
846;5;51820;09/04/2024;1;;;;;;;;;;;
847;5;51820;09/04/2024;1;;;;;;;;;;;
848;54;54115;09/04/2024;1;;;;;;;;;;;
849;61;52463;09/04/2024;5;;;;;;;;;;;
850;65;53528;09/04/2024;1;;;;;;;;;;;
851;71;54098;09/04/2024;1;;;;;;;;;;;
852;7302;53968;09/04/2024;1;;;;;;;;;;;
853;7303;54899;09/04/2024;1;;;;;;;;;;;
854;7308;54104;09/04/2024;1;;;;;;;;;;;
855;77;52062;09/04/2024;1;;;;;;;;;;;
856;77;52061;09/04/2024;1;;;;;;;;;;;
857;77;52061;09/04/2024;1;;;;;;;;;;;
858;77;52062;09/04/2024;1;;;;;;;;;;;
859;7815;52342;09/04/2024;1;;;;;;;;;;;
860;7815;52343;09/04/2024;1;;;;;;;;;;;
861;7815;52344;09/04/2024;1;;;;;;;;;;;
862;7815;52369;09/04/2024;1;;;;;;;;;;;
863;7815;52368;09/04/2024;3;;;;;;;;;;;
864;7815;52341;09/04/2024;1;;;;;;;;;;;
865;7815;52341;09/04/2024;1;;;;;;;;;;;
866;7815;52368;09/04/2024;1;;;;;;;;;;;
867;7815;52369;09/04/2024;1;;;;;;;;;;;
868;7815;52344;09/04/2024;1;;;;;;;;;;;
869;7815;52343;09/04/2024;1;;;;;;;;;;;
870;7815;52342;09/04/2024;3;;;;;;;;;;;
871;7817;51883;09/04/2024;1;;;;;;;;;;;
872;7826;53723;09/04/2024;1;;;;;;;;;;;
873;7838;55203;09/04/2024;1;;;;;;;;;;;
874;7838;55204;09/04/2024;1;;;;;;;;;;;
875;7858;53308;09/04/2024;1;;;;;;;;;;;
876;7858;53346;09/04/2024;1;;;;;;;;;;;
877;7861;55794;09/04/2024;6;;;;;;;;;;;
878;7872;53572;09/04/2024;1;;;;;;;;;;;
879;7874;56053;09/04/2024;1;;;;;;;;;;;
880;7884;51918;09/04/2024;1;;;;;;;;;;;
881;7889;51905;09/04/2024;1;;;;;;;;;;;
882;7890;53519;09/04/2024;1;;;;;;;;;;;
983;29403;53355;08/04/2024;1;;;;;;;;;;;
984;29450;51826;08/04/2024;1;;;;;;;;;;;
985;29451;51826;08/04/2024;1;;;;;;;;;;;
986;29452;51826;08/04/2024;1;;;;;;;;;;;
987;29453;51826;08/04/2024;1;;;;;;;;;;;
988;29454;51826;08/04/2024;1;;;;;;;;;;;
989;29455;51826;08/04/2024;1;;;;;;;;;;;
990;29456;51826;08/04/2024;1;;;;;;;;;;;
991;29457;51826;08/04/2024;1;;;;;;;;;;;
992;29458;51826;08/04/2024;2;;;;;;;;;;;
993;29459;51826;08/04/2024;1;;;;;;;;;;;
994;29460;51826;08/04/2024;1;;;;;;;;;;;
995;29461;51826;08/04/2024;1;;;;;;;;;;;
996;29462;51826;08/04/2024;1;;;;;;;;;;;
