CONTRATO GENERAL;CONTRATO ABONADO;ZONA ;Dir. Suministro;EMPLAZAMIENTO;INSPECCION
28849;28849;Zona 01;CL/ VILLEGAS, Nº 16;GENERAL exterior;11031
28849;29054;Zona 01;CL/ VILLEGAS, Nº 18, Plt 1, A;BATERÍA CON GRAL;11032
28849;29055;Zona 01;CL/ VILLEGAS, Nº 18, Plt 1, B;BATERÍA CON GRAL;11032
28849;29056;Zona 01;CL/ VILLEGAS, Nº 18, Plt 2, A;BATERÍA CON GRAL;11032
28849;29057;Zona 01;CL/ VILLEGAS, Nº 18, Plt 2, B;BATERÍA CON GRAL;11032
28849;29058;Zona 01;CL/ VILLEGAS, Nº 18, Plt 3, A;BATERÍA CON GRAL;11032
28849;29059;Zona 01;CL/ VILLEGAS, Nº 18, Plt 3, B;BATERÍA CON GRAL;11032
28849;29060;Zona 01;CL/ VILLEGAS, Nº 18, Plt ATC, A;BATERÍA CON GRAL;11032
28849;29061;Zona 01;CL/ VILLEGAS, Nº 18, Plt ATC, B;BATERÍA CON GRAL;11032
28849;29062;Zona 01;CL/ VILLEGAS, Nº 18;BATERÍA CON GRAL;11032
28849;29063;Zona 01;CL/ VILLEGAS, Nº 18, Plt LOC;BATERÍA CON GRAL;11032
28849;29064;Zona 01;CL/ VILLEGAS, Nº 16, Plt 1, A;BATERÍA CON GRAL;11033
28849;29065;Zona 01;CL/ VILLEGAS, Nº 16, Plt 1, B;BATERÍA CON GRAL;11033
28849;29066;Zona 01;CL/ VILLEGAS, Nº 16, Plt 2, A;BATERÍA CON GRAL;11033
28849;29067;Zona 01;CL/ VILLEGAS, Nº 16, Plt 2, B;BATERÍA CON GRAL;11033
28849;29068;Zona 01;CL/ VILLEGAS, Nº 16, Plt 3, A;BATERÍA CON GRAL;11033
28849;29069;Zona 01;CL/ VILLEGAS, Nº 16, Plt 3, B;BATERÍA CON GRAL;11033
28849;29070;Zona 01;CL/ VILLEGAS, Nº 16, Plt ATC, A;BATERÍA CON GRAL;11033
28849;29071;Zona 01;CL/ VILLEGAS, Nº 16, Plt ATC, B;BATERÍA CON GRAL;11033
28849;29072;Zona 01;CL/ VILLEGAS, Nº 16, Edif USOS COMUNES;BATERÍA CON GRAL;11033
28849;29074;Zona 01;CL/ QUEROL, Nº 5, Plt 1, A;BATERÍA CON GRAL;11034
28849;29075;Zona 01;CL/ QUEROL, Nº 5, Plt 1, B;BATERÍA CON GRAL;11034
28849;29076;Zona 01;CL/ QUEROL, Nº 5, Plt 2, A;BATERÍA CON GRAL;11034
28849;29077;Zona 01;CL/ QUEROL, Nº 5, Plt 2, B;BATERÍA CON GRAL;11034
28849;29078;Zona 01;CL/ QUEROL, Nº 5, Plt 3, A;BATERÍA CON GRAL;11034
28849;29079;Zona 01;CL/ QUEROL, Nº 5, Plt 3, B;BATERÍA CON GRAL;11034
28849;29080;Zona 01;CL/ QUEROL, Nº 5, Plt ATC, A;BATERÍA CON GRAL;11034
28849;29081;Zona 01;CL/ QUEROL, Nº 5, Plt ATC, B;BATERÍA CON GRAL;11034
28849;29082;Zona 01;CL/ QUEROL, Nº 5;BATERÍA CON GRAL;11034
28849;29083;Zona 01;CL/ QUEROL, Nº 5, Plt OFI;BATERÍA CON GRAL;11034
