notificacion;contrato;inspeccion;fecha1;codigo1;fecha2;codigo2;fecha_oficina;codigo_oficina;fecha_final;codigo_final;boe;fecha_envio_boe;fecha_pub_poe;fecha_ok_cambio;error_direccion
901;100;32132;06/05/2024;1;;;;;;;;;;;
902;100;32132;06/05/2024;1;;;;;;;;;;;
903;104;30689;06/05/2024;1;;;;;;;;;;;
904;106;31166;06/05/2024;2;;;;;;;;;;;
905;106;31166;06/05/2024;1;;;;;;;;;;;
906;109;29621;06/05/2024;4;;;;;;;;;;;
907;109;29622;06/05/2024;1;;;;;;;;;;;
908;109;29622;06/05/2024;1;;;;;;;;;;;
909;109;29621;06/05/2024;1;;;;;;;;;;;
910;112;30290;06/05/2024;6;;;;;;;;;;;
911;119;30798;06/05/2024;1;;;;;;;;;;;
912;119;30839;06/05/2024;1;;;;;;;;;;;
913;119;30839;06/05/2024;1;;;;;;;;;;;
914;119;30798;06/05/2024;1;;;;;;;;;;;
915;128;30841;06/05/2024;2;;;;;;;;;;;
916;131;30676;06/05/2024;1;;;;;;;;;;;
917;132;29441;06/05/2024;2;;;;;;;;;;;
918;154;29592;06/05/2024;1;;;;;;;;;;;
919;165;30385;06/05/2024;1;;;;;;;;;;;
920;166;31022;06/05/2024;1;;;;;;;;;;;
921;168;30800;06/05/2024;1;;;;;;;;;;;
922;168;30801;06/05/2024;1;;;;;;;;;;;
923;172;31105;06/05/2024;3;;;;;;;;;;;
924;172;31105;06/05/2024;1;;;;;;;;;;;
925;181;30288;06/05/2024;1;;;;;;;;;;;
926;187;29542;06/05/2024;1;;;;;;;;;;;
927;191;30340;06/05/2024;1;;;;;;;;;;;
928;201;28886;06/05/2024;1;;;;;;;;;;;
929;203;30954;06/05/2024;1;;;;;;;;;;;
930;232;30291;06/05/2024;4;;;;;;;;;;;
931;233;32951;06/05/2024;1;;;;;;;;;;;
932;247;30535;06/05/2024;1;;;;;;;;;;;
933;247;30535;06/05/2024;1;;;;;;;;;;;
934;256;28940;06/05/2024;1;;;;;;;;;;;
935;256;28940;06/05/2024;6;;;;;;;;;;;
936;259;31111;06/05/2024;1;;;;;;;;;;;
937;259;31110;06/05/2024;1;;;;;;;;;;;
938;259;31110;06/05/2024;1;;;;;;;;;;;
939;259;31111;06/05/2024;1;;;;;;;;;;;
940;262;30486;06/05/2024;1;;;;;;;;;;;
941;284;28963;06/05/2024;3;;;;;;;;;;;
942;289;31080;06/05/2024;1;;;;;;;;;;;
943;289;31080;06/05/2024;1;;;;;;;;;;;
944;291;28902;06/05/2024;6;;;;;;;;;;;
945;292;31063;06/05/2024;1;;;;;;;;;;;
946;299;30224;06/05/2024;1;;;;;;;;;;;
947;305;30515;06/05/2024;2;;;;;;;;;;;
948;305;30551;06/05/2024;3;;;;;;;;;;;
949;312;30516;06/05/2024;1;;;;;;;;;;;
950;315;30334;06/05/2024;1;;;;;;;;;;;
951;355;31109;06/05/2024;5;;;;;;;;;;;
952;372;30590;06/05/2024;1;;;;;;;;;;;
953;372;30590;06/05/2024;1;;;;;;;;;;;
954;375;30292;06/05/2024;1;;;;;;;;;;;
955;375;30333;06/05/2024;1;;;;;;;;;;;
956;380;30268;06/05/2024;1;;;;;;;;;;;
957;380;30305;06/05/2024;1;;;;;;;;;;;
958;410;30604;06/05/2024;1;;;;;;;;;;;
959;427;30343;06/05/2024;1;;;;;;;;;;;
960;466;31113;06/05/2024;1;;;;;;;;;;;
961;467;30347;06/05/2024;5;;;;;;;;;;;
962;468;30325;06/05/2024;1;;;;;;;;;;;
963;5;28793;06/05/2024;1;;;;;;;;;;;
964;5;28793;06/05/2024;1;;;;;;;;;;;
965;536;28939;06/05/2024;1;;;;;;;;;;;
966;54;31088;06/05/2024;1;;;;;;;;;;;
967;578;31271;06/05/2024;1;;;;;;;;;;;
968;579;30344;06/05/2024;1;;;;;;;;;;;
969;591;30883;06/05/2024;1;;;;;;;;;;;
970;61;29436;06/05/2024;5;;;;;;;;;;;
971;65;30501;06/05/2024;1;;;;;;;;;;;
972;71;31071;06/05/2024;1;;;;;;;;;;;
973;738;29026;06/05/2024;1;;;;;;;;;;;
974;742;30897;06/05/2024;2;;;;;;;;;;;
975;742;30935;06/05/2024;1;;;;;;;;;;;
976;743;30899;06/05/2024;1;;;;;;;;;;;
977;749;30329;06/05/2024;1;;;;;;;;;;;
978;760;28841;06/05/2024;1;;;;;;;;;;;
979;77;29034;06/05/2024;1;;;;;;;;;;;
980;77;29034;06/05/2024;1;;;;;;;;;;;
981;8;28794;06/05/2024;1;;;;;;;;;;;
982;8;28794;06/05/2024;1;;;;;;;;;;;
983;819;30793;06/05/2024;5;;;;;;;;;;;
984;86;30564;06/05/2024;1;;;;;;;;;;;
985;876;30835;06/05/2024;1;;;;;;;;;;;
986;876;30835;06/05/2024;2;;;;;;;;;;;
987;900;31316;06/05/2024;1;;;;;;;;;;;
988;93;29555;06/05/2024;1;;;;;;;;;;;
989;95;29574;06/05/2024;1;;;;;;;;;;;
